timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2023/04/15 11:52:26.514, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 129.44 W, 55, 1860 MHz
2023/04/15 11:52:27.516, 4 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 129.65 W, 55, 1860 MHz
2023/04/15 11:52:28.519, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 129.78 W, 55, 1860 MHz
2023/04/15 11:52:29.521, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 129.59 W, 55, 1860 MHz
2023/04/15 11:52:30.522, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 129.68 W, 55, 1860 MHz
2023/04/15 11:52:31.524, 4 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 129.76 W, 55, 1860 MHz
2023/04/15 11:52:32.526, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 129.75 W, 55, 1860 MHz
2023/04/15 11:52:33.527, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 129.31 W, 55, 1860 MHz
2023/04/15 11:52:34.529, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 129.68 W, 55, 1860 MHz
2023/04/15 11:52:35.531, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.30 W, 55, 1860 MHz
2023/04/15 11:52:36.533, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.90 W, 56, 1860 MHz
2023/04/15 11:52:37.535, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.71 W, 56, 1860 MHz
2023/04/15 11:52:38.537, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.91 W, 56, 1860 MHz
2023/04/15 11:52:39.539, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 131.17 W, 56, 1860 MHz
2023/04/15 11:52:40.541, 4 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 131.27 W, 56, 1860 MHz
2023/04/15 11:52:41.542, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 131.11 W, 56, 1860 MHz
2023/04/15 11:52:42.544, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 131.32 W, 56, 1860 MHz
2023/04/15 11:52:43.546, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 131.43 W, 56, 1860 MHz
2023/04/15 11:52:44.548, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 131.46 W, 56, 1860 MHz
2023/04/15 11:52:45.550, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 134.24 W, 56, 1860 MHz
2023/04/15 11:52:46.552, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 131.94 W, 56, 1860 MHz
2023/04/15 11:52:47.554, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 131.50 W, 56, 1860 MHz
2023/04/15 11:52:48.556, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 131.76 W, 56, 1860 MHz
2023/04/15 11:52:49.558, 5 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 131.59 W, 56, 1860 MHz
2023/04/15 11:52:50.560, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 131.36 W, 56, 1860 MHz
2023/04/15 11:52:51.562, 4 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 131.56 W, 56, 1860 MHz
2023/04/15 11:52:52.564, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 131.67 W, 56, 1860 MHz
2023/04/15 11:52:53.566, 20 %, 7 %, 24576 MiB, 23327 MiB, 940 MiB, 140.43 W, 57, 1860 MHz
2023/04/15 11:52:54.569, 17 %, 6 %, 24576 MiB, 23327 MiB, 940 MiB, 147.72 W, 57, 1860 MHz
2023/04/15 11:52:55.573, 19 %, 7 %, 24576 MiB, 23327 MiB, 940 MiB, 148.45 W, 57, 1860 MHz
2023/04/15 11:52:56.574, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 132.03 W, 56, 1860 MHz
2023/04/15 11:52:57.576, 1 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 127.62 W, 56, 1860 MHz
2023/04/15 11:52:58.578, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.69 W, 56, 1860 MHz
2023/04/15 11:52:59.580, 2 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.67 W, 56, 1860 MHz
2023/04/15 11:53:00.582, 2 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.44 W, 56, 1860 MHz
2023/04/15 11:53:01.584, 2 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 128.22 W, 56, 1860 MHz
2023/04/15 11:53:02.587, 1 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 128.20 W, 56, 1860 MHz
2023/04/15 11:53:03.589, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.62 W, 56, 1860 MHz
2023/04/15 11:53:04.591, 2 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.53 W, 56, 1860 MHz
2023/04/15 11:53:05.593, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.57 W, 56, 1860 MHz
2023/04/15 11:53:06.595, 2 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.33 W, 56, 1860 MHz
2023/04/15 11:53:07.597, 2 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.12 W, 56, 1860 MHz
2023/04/15 11:53:08.599, 2 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.32 W, 56, 1860 MHz
2023/04/15 11:53:09.601, 2 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.41 W, 56, 1860 MHz
2023/04/15 11:53:10.604, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.55 W, 56, 1860 MHz
2023/04/15 11:53:11.607, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 127.15 W, 55, 1860 MHz
2023/04/15 11:53:12.609, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 126.43 W, 55, 1860 MHz
2023/04/15 11:53:13.611, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 125.78 W, 55, 1860 MHz
2023/04/15 11:53:14.613, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 125.67 W, 55, 1860 MHz
2023/04/15 11:53:15.615, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 125.68 W, 55, 1860 MHz
2023/04/15 11:53:16.617, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 125.61 W, 55, 1860 MHz
2023/04/15 11:53:17.619, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 125.56 W, 55, 1860 MHz
2023/04/15 11:53:18.621, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 125.63 W, 55, 1860 MHz
2023/04/15 11:53:19.623, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 125.55 W, 55, 1860 MHz
2023/04/15 11:53:20.624, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 125.41 W, 55, 1860 MHz
2023/04/15 11:53:21.626, 5 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 126.16 W, 55, 1860 MHz
2023/04/15 11:53:22.628, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 131.08 W, 56, 1860 MHz
2023/04/15 11:53:23.631, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 131.06 W, 56, 1860 MHz
2023/04/15 11:53:24.633, 4 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.63 W, 56, 1860 MHz
2023/04/15 11:53:25.635, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.86 W, 56, 1860 MHz
2023/04/15 11:53:26.637, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.94 W, 55, 1860 MHz
2023/04/15 11:53:27.640, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 131.12 W, 56, 1860 MHz
2023/04/15 11:53:28.642, 4 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 131.14 W, 56, 1860 MHz
2023/04/15 11:53:29.644, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 131.29 W, 56, 1860 MHz
2023/04/15 11:53:30.646, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 131.39 W, 56, 1860 MHz
2023/04/15 11:53:31.649, 5 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 131.11 W, 56, 1860 MHz
2023/04/15 11:53:32.651, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 131.56 W, 55, 1860 MHz
2023/04/15 11:53:33.654, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.89 W, 55, 1860 MHz
2023/04/15 11:53:34.656, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 131.33 W, 56, 1860 MHz
2023/04/15 11:53:35.659, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 131.17 W, 56, 1860 MHz
